DateTime,TemperatureF,Humidity,Hour_y,Minute_y,Day_y,Weekend,Holiday,TotalUsage
01-01-2016 00:00,50,63,0,0,6,0,0,19.84323333
01-01-2016 01:00,49.8,63,1,60,6,0,0,18.46248333
01-01-2016 02:00,48.9,61,2,120,6,0,0,17.41416667
01-01-2016 03:00,48.6,61,3,180,6,0,0,15.91468333
01-01-2016 04:00,47.7,63,4,240,6,0,0,19.19593333
01-01-2016 05:00,46.9,63,5,300,6,0,0,16.34718333
01-01-2016 06:00,45.5,66,6,360,6,0,0,17.02991667
01-01-2016 07:00,45.1,61,7,420,6,0,0,18.53501667
01-01-2016 08:00,44.8,62,8,480,6,0,0,19.86306667
01-01-2016 09:00,44.8,59,9,540,6,0,0,22.0373
01-01-2016 10:00,45.3,60,10,600,6,0,0,23.69108333
01-01-2016 11:00,45.1,59,11,660,6,0,0,28.72265
01-01-2016 12:00,46.2,60,12,720,6,0,0,27.15475
01-01-2016 13:00,46.9,59,13,780,6,0,0,24.8232
01-01-2016 14:00,46.8,59,14,840,6,0,0,25.8071
01-01-2016 15:00,47.1,60,15,900,6,0,0,27.51906667
01-01-2016 16:00,46.9,59,16,960,6,0,0,23.87655
01-01-2016 17:00,46.8,61,17,1020,6,0,0,26.4352
01-01-2016 18:00,46.4,60,18,1080,6,0,0,28.35148333
01-01-2016 19:00,46.6,55,19,1140,6,0,0,27.43345
01-01-2016 20:00,46.4,55,20,1200,6,0,0,29.58878333
01-01-2016 21:00,46.4,55,21,1260,6,0,0,31.01988333
01-01-2016 22:00,46.4,53,22,1320,6,0,0,30.69086667
01-01-2016 23:00,46.2,46,23,1380,6,0,0,22.6249
02-01-2016 00:00,45.9,50,0,0,7,1,0,18.95571667
02-01-2016 01:00,45.9,51,1,60,7,1,0,18.2174
02-01-2016 02:00,46,50,2,120,7,1,0,17.7713
02-01-2016 03:00,45.9,51,3,180,7,1,0,18.15241667
02-01-2016 04:00,45.5,55,4,240,7,1,0,17.16681667
02-01-2016 05:00,45.1,58,5,300,7,1,0,18.2125
02-01-2016 06:00,45.3,52,6,360,7,1,0,17.73511667
02-01-2016 07:00,45.3,51,7,420,7,1,0,19.5192
02-01-2016 08:00,45,54,8,480,7,1,0,21.48681667
02-01-2016 09:00,44.1,66,9,540,7,1,0,29.086
02-01-2016 10:00,44.8,62,10,600,7,1,0,26.89553333
02-01-2016 11:00,45.5,60,11,660,7,1,0,33.36351667
02-01-2016 12:00,46.4,52,12,720,7,1,0,27.00478333
02-01-2016 13:00,46.9,48,13,780,7,1,0,24.2893
02-01-2016 14:00,46.8,52,14,840,7,1,0,24.9571
02-01-2016 15:00,47.3,52,15,900,7,1,0,24.65388333
02-01-2016 16:00,47.3,54,16,960,7,1,0,23.9732
02-01-2016 17:00,46.9,59,17,1020,7,1,0,27.08338333
02-01-2016 18:00,45.3,79,18,1080,7,1,0,29.5349
02-01-2016 19:00,45,87,19,1140,7,1,0,30.36246667
02-01-2016 20:00,44.2,92,20,1200,7,1,0,27.19963333
02-01-2016 21:00,43.9,96,21,1260,7,1,0,26.92091667
02-01-2016 22:00,43.9,95,22,1320,7,1,0,23.56575
02-01-2016 23:00,43.7,97,23,1380,7,1,0,20.54335
